,yandm,MktRF,smb,hml,rf
418,196105,2.4,1.99,0.43,0.18
419,196106,-3.08,-2.48,-0.17,0.2
420,196107,2.83,-1.84,-0.18,0.18
421,196108,2.57,-1.77,-0.27,0.14
422,196109,-2.15,-1.05,-0.64,0.17
423,196110,2.57,-1.54,-0.01,0.19
424,196111,4.45,1.22,-1.17,0.15
425,196112,-0.18,-0.9,1.87,0.19
426,196201,-3.87,1.82,5.07,0.24
427,196202,1.81,-1.2,0.91,0.2
428,196203,-0.68,0.48,-1.33,0.2
429,196204,-6.59,-0.69,0.02,0.22
430,196205,-8.65,-3.35,2.81,0.24
431,196206,-8.47,-0.63,2.6,0.2
432,196207,6.28,1.63,-3.57,0.27
433,196208,2.13,1.25,-1.21,0.23
434,196209,-5.22,-2.48,1.34,0.21
435,196210,-0.05,-4.01,1.35,0.25
436,196211,10.87,2.59,0.99,0.2
437,196212,1.01,-3.8,0.35,0.23
438,196301,4.93,3.12,2.17,0.25
439,196302,-2.38,0.46,2.2,0.23
440,196303,3.08,-2.48,1.9,0.23
441,196304,4.51,-1.35,1.0,0.25
442,196305,1.76,1.07,2.61,0.24
443,196306,-2.0,-0.29,0.77,0.23
444,196307,-0.39,-0.53,-0.89,0.27
445,196308,5.07,-0.89,1.68,0.25
446,196309,-1.57,-0.35,0.08,0.27
447,196310,2.53,-0.56,-0.14,0.29
448,196311,-0.85,-1.17,1.81,0.27
449,196312,1.83,-2.11,-0.08,0.29
450,196401,2.24,-0.14,1.47,0.3
451,196402,1.54,0.13,2.74,0.26
452,196403,1.41,0.99,3.36,0.31
453,196404,0.1,-1.44,-0.58,0.29
454,196405,1.42,-0.86,1.82,0.26
455,196406,1.27,-0.1,0.63,0.3
456,196407,1.74,0.22,0.75,0.3
457,196408,-1.44,0.17,0.08,0.28
458,196409,2.69,-0.53,1.7,0.28
459,196410,0.59,0.44,1.17,0.29
460,196411,0.0,0.69,-1.96,0.29
461,196412,0.03,-0.36,-2.48,0.31
462,196501,3.54,2.7,0.12,0.28
463,196502,0.44,3.53,0.11,0.3
464,196503,-1.34,1.88,1.03,0.36
465,196504,3.11,1.15,0.66,0.31
466,196505,-0.77,0.13,-1.61,0.31
467,196506,-5.51,-4.35,0.59,0.35
468,196507,1.43,0.87,2.14,0.31
469,196508,2.73,2.83,-1.02,0.33
470,196509,2.86,0.64,-0.12,0.31
471,196510,2.6,2.53,1.57,0.31
472,196511,-0.03,4.65,0.1,0.35
473,196512,1.01,2.06,2.02,0.33
474,196601,0.72,3.84,3.53,0.38
475,196602,-1.21,4.38,0.29,0.35
476,196603,-2.51,0.98,-2.0,0.38
477,196604,2.14,3.41,-0.47,0.34
478,196605,-5.66,-4.6,-1.61,0.41
479,196606,-1.44,1.04,0.49,0.38
480,196607,-1.63,-0.43,0.99,0.35
481,196608,-7.91,-3.29,0.44,0.41
482,196609,-1.06,-1.04,0.51,0.4
483,196610,3.86,-6.52,2.68,0.45
484,196611,1.4,4.35,-4.77,0.4
485,196612,0.13,2.09,-1.32,0.4
486,196701,8.15,8.3,2.25,0.43
487,196702,0.78,3.33,-2.18,0.36
488,196703,3.99,1.42,0.54,0.39
489,196704,3.89,0.62,-2.45,0.32
490,196705,-4.33,1.8,1.18,0.33
491,196706,2.41,5.91,0.85,0.27
492,196707,4.58,3.1,2.72,0.31
493,196708,-0.89,0.39,1.52,0.31
494,196709,3.11,3.02,-2.42,0.32
495,196710,-3.09,1.38,-3.22,0.39
496,196711,0.37,0.16,-1.69,0.36
497,196712,3.05,5.78,-0.63,0.33
498,196801,-4.06,3.89,4.84,0.4
499,196802,-3.75,-2.96,1.33,0.39
500,196803,0.2,-1.35,-0.59,0.38
501,196804,9.05,5.66,-1.17,0.43
502,196805,2.28,6.49,0.66,0.45
503,196806,0.69,-0.25,0.83,0.43
504,196807,-2.72,-1.37,5.39,0.48
505,196808,1.34,2.32,1.0,0.42
506,196809,4.03,2.81,0.3,0.43
507,196810,0.42,-0.48,2.86,0.44
508,196811,5.43,2.37,-0.93,0.42
509,196812,-3.94,3.4,-0.01,0.43
510,196901,-1.25,-0.76,1.68,0.53
511,196902,-5.84,-3.94,0.9,0.46
512,196903,2.64,-0.26,-0.52,0.46
513,196904,1.46,-0.87,-0.03,0.53
514,196905,-0.1,-0.22,0.72,0.48
515,196906,-7.18,-5.41,-1.09,0.51
516,196907,-7.0,-3.22,1.18,0.53
517,196908,4.68,0.89,-3.77,0.5
518,196909,-2.98,1.14,-3.19,0.62
519,196910,5.06,3.87,-3.1,0.6
520,196911,-3.79,-2.58,-1.21,0.52
521,196912,-2.63,-3.72,-2.84,0.64
522,197001,-8.1,2.95,3.12,0.6
523,197002,5.13,-2.56,3.93,0.62
524,197003,-1.06,-2.3,3.99,0.57
525,197004,-11.0,-6.12,6.17,0.5
526,197005,-6.92,-4.56,3.32,0.53
527,197006,-5.79,-2.14,0.6,0.58
528,197007,6.93,-0.5,0.91,0.52
529,197008,4.49,1.53,1.27,0.53
530,197009,4.18,8.59,-5.52,0.54
531,197010,-2.28,-4.22,0.21,0.46
532,197011,4.6,-3.94,1.7,0.46
533,197012,5.72,2.92,0.99,0.42
534,197101,4.84,7.38,1.48,0.38
535,197102,1.41,1.86,-1.27,0.33
536,197103,4.13,2.61,-4.03,0.3
537,197104,3.15,-0.48,0.81,0.28
538,197105,-3.98,-1.04,-1.41,0.29
539,197106,-0.1,-1.48,-1.94,0.37
540,197107,-4.5,-1.51,-0.01,0.4
541,197108,3.79,-0.15,2.64,0.47
542,197109,-0.85,0.51,-2.91,0.37
543,197110,-4.42,-1.74,-0.48,0.37
544,197111,-0.46,-2.78,-1.7,0.37
545,197112,8.71,3.26,-0.41,0.37
546,197201,2.49,5.88,2.27,0.29
547,197202,2.87,1.31,-2.77,0.25
548,197203,0.63,-0.27,-1.63,0.27
549,197204,0.29,0.08,0.1,0.29
550,197205,1.25,-2.73,-2.72,0.3
551,197206,-2.43,0.24,-2.49,0.29
552,197207,-0.8,-2.87,0.66,0.31
553,197208,3.26,-4.03,4.53,0.29
554,197209,-1.14,-2.65,0.47,0.34
555,197210,0.52,-2.73,1.35,0.4
556,197211,4.6,-1.2,4.83,0.37
557,197212,0.62,-1.95,-2.19,0.37
558,197301,-3.29,-3.49,2.68,0.44
559,197302,-4.85,-3.87,1.6,0.41
560,197303,-1.3,-2.82,2.62,0.46
561,197304,-5.68,-3.85,5.42,0.52
562,197305,-2.94,-6.3,0.41,0.51
563,197306,-1.57,-2.85,1.19,0.51
564,197307,5.05,7.97,-5.26,0.64
565,197308,-3.82,-2.02,1.06,0.7
566,197309,4.75,2.93,2.24,0.68
567,197310,-0.83,-0.28,1.6,0.65
568,197311,-12.75,-7.72,3.99,0.56
569,197312,0.61,-5.37,3.94,0.64
570,197401,-0.17,9.72,6.0,0.63
571,197402,-0.47,-0.02,2.5,0.58
572,197403,-2.81,2.5,-0.12,0.56
573,197404,-5.29,-0.74,0.87,0.75
574,197405,-4.68,-2.96,-2.07,0.75
575,197406,-2.83,-0.17,0.79,0.6
576,197407,-8.05,0.84,5.17,0.7
577,197408,-9.35,-0.72,2.64,0.6
578,197409,-11.77,0.27,5.59,0.81
579,197410,16.1,-3.46,-9.88,0.51
580,197411,-4.51,-1.22,-0.2,0.54
581,197412,-3.45,-4.83,0.11,0.7
582,197501,13.66,11.15,8.27,0.58
583,197502,5.56,0.16,-4.44,0.43
584,197503,2.66,3.78,2.39,0.41
585,197504,4.23,-0.66,-1.13,0.44
586,197505,5.19,3.84,-4.1,0.44
587,197506,4.83,0.86,1.4,0.41
588,197507,-6.59,2.7,1.69,0.48
589,197508,-2.85,-3.24,-0.94,0.48
590,197509,-4.26,-0.1,0.43,0.53
591,197510,5.31,-4.01,0.27,0.56
592,197511,2.64,-1.21,2.05,0.41
593,197512,-1.6,-0.77,1.69,0.48
594,197601,12.16,4.78,8.57,0.47
595,197602,0.32,7.04,5.82,0.34
596,197603,2.32,-1.18,-0.11,0.4
597,197604,-1.49,-0.11,-0.14,0.42
598,197605,-1.34,-1.23,-1.35,0.37
599,197606,4.05,-1.3,0.69,0.43
600,197607,-1.07,0.29,1.73,0.47
601,197608,-0.56,-2.0,0.81,0.42
602,197609,2.07,-0.02,-0.29,0.44
603,197610,-2.42,0.22,-0.18,0.41
604,197611,0.36,2.32,1.51,0.4
605,197612,5.65,3.03,2.27,0.4
606,197701,-4.05,4.76,4.27,0.36
607,197702,-1.94,1.04,0.47,0.35
608,197703,-1.37,1.0,1.09,0.38
609,197704,0.15,-0.12,3.38,0.38
610,197705,-1.45,1.18,0.85,0.37
611,197706,4.71,2.09,-0.74,0.4
612,197707,-1.69,2.16,-0.57,0.42
613,197708,-1.75,1.49,-2.73,0.44
614,197709,-0.27,1.33,-0.46,0.43
615,197710,-4.38,1.25,1.81,0.49
616,197711,4.0,3.72,0.23,0.5
617,197712,0.27,1.32,-0.3,0.49
618,197801,-6.01,2.24,3.36,0.49
619,197802,-1.38,3.59,0.83,0.46
620,197803,2.85,3.48,1.16,0.53
